Time,x (km),y (km),z (km),Dx (km/s),Dy (km/s),Dz (km/s),Distance (km),Vel. (km/s)
2021-360/00:00.000000,-10513330.77477786,134773442.1107863,58365350.92922118,-30.21183453495419,0.2371606093261613,-0.8850515906831684,147244439.66228572,30.225725920815158
2021-361/00:00.000000,-13130125.22602854,134728522.953383,58280408.23642173,-30.30546460857769,-1.085459368307528,-1.085094451990985,147379717.29466513,30.344304855305932
2021-362/00:00.000000,-15747195.25636195,134599235.1379047,58177688.97191274,-30.26905131536859,-1.873887730299376,-1.292849297172546,147477360.13457647,30.35454466901757
2021-363/00:00.000000,-18359986.7417414,134408444.2107739,58057005.2296126,-30.20945213814074,-2.5324232459577,-1.500749301926031,147557903.361863,30.35253555224859
2021-364/00:00.000000,-20967001.15052224,134163199.4755359,57918377.16566955,-30.13639216289328,-3.137936335952732,-1.708137694102226,147627631.7098638,30.347430062959216
2021-365/00:00.000000,-23567241.97803053,133867099.550859,57761859.03115946,-30.05286444119568,-3.712181592091381,-1.91485007103251,147689700.36988422,30.341746885900935
2022-001/00:00.000000,-26159848.51196368,133522313.9522684,57587514.53730582,-29.95975093137239,-4.266192041592287,-2.120769854460939,147745957.06117114,30.33619513355629
2022-002/00:00.000000,-28744010.57160467,133130315.211117,57395414.80422528,-29.85741585157577,-4.805806672207853,-2.325847860710133,147797606.92413452,30.331017578969146
2022-003/00:00.000000,-31318939.64254404,132692187.5391595,57185634.42639565,-29.74603614696375,-5.334429920973298,-2.530036216239344,147845491.64249197,30.32629044729559
2022-004/00:00.000000,-33883858.85501869,132208782.042253,56958252.40862098,-29.62571164371331,-5.854186624322224,-2.733284654227924,147890231.10891053,30.322023950090824
2022-005/00:00.000000,-36437998.58144444,131680800.9981753,56713352.04777126,-29.49651113779677,-6.366460940763565,-2.93554673247281,147932300.0315916,30.318202928784693
2022-006/00:00.000000,-38980592.97810739,131108846.9373295,56451020.36308929,-29.35846160098037,-6.872209998325557,-3.136778665178269,147972071.9399269,30.314780524220232
2022-007/00:00.000000,-41510879.81754445,130493453.9064559,56171348.77563575,-29.21161576457077,-7.372084084388392,-3.336924816864439,148009847.9120125,30.311733479918598
2022-008/00:00.000000,-44028100.82129641,129835108.3740193,55874433.35974124,-29.05601415126945,-7.866545773666132,-3.535932603129245,148045875.76726255,30.309030339848015
2022-009/00:00.000000,-46531501.26928864,129134262.9789065,55560374.78282294,-28.89169882959589,-8.355923395756,-3.733748335835442,148080362.41003376,30.306642732100315
2022-010/00:00.000000,-49020330.20425408,128391346.3564262,55229278.39103676,-28.71871497578774,-8.840449424938042,-3.930317443199905,148113482.78986806,30.304546376736013
2022-011/00:00.000000,-51493831.70210142,127606772.5130864,54881237.64675223,-28.53708394992289,-9.320278094049982,-4.12560194269934,148145379.0714048,30.302695185494297
2022-012/00:00.000000,-53951279.13174085,126780937.7259913,54516399.30787433,-28.34691860181451,-9.795534110511408,-4.319509274103404,148176194.0533239,30.30112940299677
2022-013/00:00.000000,-56391928.64764982,125914236.1237416,54134867.9741739,-28.14825173844473,-10.26627778365625,-4.512005025065458,148206033.6349645,30.29981394015921
2022-014/00:00.000000,-58815048.67077879,125007055.9257784,53736767.89651082,-27.94115324180646,-10.73254170301449,-4.703036596335185,148234996.5606646,30.298746659152833
2022-015/00:00.000000,-61219913.9781495,124059783.9346857,53322227.74597881,-27.7256999220628,-11.1943264680749,-4.892554476620885,148263170.8456519,30.297928486099813
2022-016/00:00.000000,-63605806.13934759,123072808.1948631,52891380.27291457,-27.50197110456897,-11.65160320353246,-5.080514242088777,148290636.2478086,30.29735791802944
