Time                         x (km)            y (km)            z (km)    Dx (km/s)    Dy (km/s)    Dz (km/s)     Distance (km)  Vel. (km/s)
-----------------  ----------------  ----------------  ----------------  -----------  -----------  -----------  ----------------  -----------
2019-152/00:00:00     -52775662.727    -131923682.703     -57635913.927       27.566       -9.517       -4.053     153333059.737       29.443
2019-153/00:00:00     -50386669.529    -132727429.717     -57977883.128       27.727       -9.085       -3.862     153351954.659       29.432
2019-154/00:00:00     -47983771.619    -133493893.709     -58303308.825       27.896       -8.656       -3.671     153369937.786       29.438
2019-155/00:00:00     -45566799.054    -134223130.471     -58612224.456       28.050       -8.223       -3.479     153387009.832       29.437
2019-156/00:00:00     -43137156.369    -134914748.814     -58904461.273       28.194       -7.787       -3.286     153403191.834       29.434
2019-157/00:00:00     -40694874.035    -135568711.637     -59180014.243       28.336       -7.350       -3.092     153418455.323       29.437
2019-158/00:00:00     -38241231.597    -136184723.991     -59438756.558       28.466       -6.910       -2.897     153432840.761       29.435
2019-159/00:00:00     -35776319.912    -136762725.947     -59680673.914       28.588       -6.469       -2.702     153446313.457       29.435
2019-160/00:00:00     -33301369.508    -137302474.493     -59905662.827       28.707       -6.026       -2.506     153458916.821       29.439
2019-161/00:00:00     -30816629.302    -137803889.329     -60113699.390       28.806       -5.580       -2.309     153470627.190       29.432
2019-162/00:00:00     -28323096.735    -138266790.665     -60304709.720       28.913       -5.135       -2.112     153481468.666       29.441
2019-163/00:00:00     -25821169.541    -138691086.246     -60478663.674       29.000       -4.687       -1.914     153491429.599       29.439
2019-164/00:00:00     -23311886.273    -139076626.830     -60635501.819       29.083       -4.238       -1.716     153500541.540       29.440
2019-165/00:00:00     -20795564.409    -139423332.507     -60775198.527       29.158       -3.787       -1.517     153508781.190       29.442
2019-166/00:00:00     -18273236.805    -139731082.704     -60897708.747       29.230       -3.336       -1.318     153516180.214       29.449
2019-167/00:00:00     -15745264.437    -139999810.507     -61003011.419       29.283       -2.884       -1.119     153522726.970       29.446
2019-168/00:00:00     -13212715.659    -140229413.857     -61091072.434       29.342       -2.431       -0.920     153528445.237       29.457
2019-169/00:00:00     -10675890.146    -140419851.677     -61161880.858       29.378       -1.977       -0.720     153533335.291       29.453
2019-170/00:00:00      -8135901.275    -140571035.903     -61215411.110       29.419       -1.523       -0.520     153537407.760       29.463
2019-171/00:00:00      -5592982.302    -140682952.730     -61251663.376       29.443       -1.068       -0.319     153540681.600       29.464
2019-172/00:00:00      -3048374.515    -140755525.025     -61270618.556       29.463       -0.612       -0.119     153543150.647       29.469
2019-173/00:00:00       -502200.043    -140788761.273     -61272286.295       29.471       -0.157        0.081     153544848.737       29.472
2019-174/00:00:00       2044262.387    -140782607.764     -61256657.625       29.479        0.299        0.281     153545757.873       29.482
2019-175/00:00:00       4590877.524    -140737083.007     -61223747.871       29.465        0.755        0.481     153545921.447       29.478
2019-176/00:00:00       7136403.645    -140652163.658     -61173560.508       29.460        1.211        0.681     153545315.474       29.493
2019-177/00:00:00       9680567.196    -140527874.568     -61106115.427       29.430        1.666        0.880     153543981.498       29.490
2019-178/00:00:00      12222388.656    -140364222.344     -61021428.302       29.406        2.122        1.080     153541904.413       29.502
2019-179/00:00:00      14761332.156    -140161246.955     -60919527.023       29.362        2.577        1.279     153539118.299       29.503
2019-180/00:00:00      17296563.719    -139918975.185     -60800436.326       29.321        3.031        1.478     153535610.823       29.514
2019-181/00:00:00      19827463.509    -139637470.007     -60664194.698       29.261        3.485        1.676     153531416.516       29.515
2019-182/00:00:00      22353358.057    -139316764.879     -60510830.997       29.206        3.939        1.874     153526526.245       29.530
2019-183/00:00:00      24873421.759    -138956964.516     -60340401.711       29.127        4.390        2.071     153520973.082       29.529
2019-184/00:00:00      27387161.364    -138558093.183     -60152933.448       29.056        4.842        2.268     153514745.860       29.544
2019-185/00:00:00      29893520.186    -138120322.121     -59948510.613       28.967        5.292        2.464     153507882.067       29.549
2019-186/00:00:00      32392322.097    -137643624.781     -59727140.731       28.869        5.741        2.659     153500362.585       29.554
2019-187/00:00:00      34882273.533    -137128263.138     -59488946.825       28.769        6.189        2.854     153492241.994       29.565
2019-188/00:00:00      37363251.244    -136574187.543     -59233926.441       28.658        6.636        3.048     153483482.134       29.573
2019-189/00:00:00      39834002.924    -135981699.008     -58962222.037       28.538        7.080        3.241     153474147.274       29.581
2019-190/00:00:00      42294415.287    -135350740.338     -58673826.530       28.413        7.524        3.434     153464192.548       29.592
2019-191/00:00:00      44743179.820    -134681672.210     -58368911.226       28.275        7.965        3.625     153453689.325       29.598
2019-192/00:00:00      47180223.213    -133974423.722     -58047461.103       28.133        8.405        3.815     153442586.704       29.609
2019-193/00:00:00      49604287.978    -133229370.350     -57709656.947       27.983        8.843        4.005     153430945.426       29.620
2019-194/00:00:00      52015159.086    -132446507.936     -57355512.419       27.820        9.277        4.192     153418737.591       29.624
2019-195/00:00:00      54411808.073    -131626149.896     -56985182.610       27.658        9.712        4.380     153405994.770       29.639
2019-196/00:00:00      56793688.059    -130768438.966     -56598747.050       27.479       10.142        4.565     153392717.561       29.644
2019-197/00:00:00      59160234.873    -129873532.870     -56196291.477       27.297       10.571        4.750     153378913.499       29.655
2019-198/00:00:00      61510492.587    -128941755.749     -55777977.659       27.106       10.997        4.933     153364597.824       29.665
2019-199/00:00:00      63844120.584    -127973199.973     -55343862.159       26.910       11.422        5.115     153349779.012       29.677
2019-200/00:00:00      66160076.371    -126968247.232     -54894132.480       26.702       11.842        5.295     153334462.178       29.686
2019-201/00:00:00      68458109.249    -125926973.671     -54428838.684       26.490       12.261        5.475     153318667.814       29.699
2019-202/00:00:00      70737091.686    -124849819.945     -53948194.411       26.266       12.675        5.652     153302385.372       29.707
2019-203/00:00:00      72996811.960    -123736863.185     -53452251.445       26.037       13.086        5.827     153285645.290       29.718
2019-204/00:00:00      75236185.728    -122588551.597     -52941226.701       25.803       13.496        6.002     153268425.027       29.732
2019-205/00:00:00      77454914.652    -121405018.815     -52415198.055       25.553       13.899        6.174     153250759.816       29.737
2019-206/00:00:00      79652073.928    -120186669.535     -51874363.585       25.306       14.303        6.345     153232627.114       29.753
2019-207/00:00:00      81827085.938    -118933782.877     -51318865.379       25.044       14.700        6.514     153214041.936       29.761
2019-208/00:00:00      83979492.949    -117646572.242     -50748819.553       24.775       15.094        6.681     153195019.117       29.770
2019-209/00:00:00      86108285.133    -116325548.796     -50164468.207       24.503       15.486        6.846     153175533.104       29.784
2019-210/00:00:00      88213216.155    -114970842.788     -49565892.782       24.219       15.871        7.009     153155619.953       29.792
2019-211/00:00:00      90293296.569    -113582984.824     -48953343.550       23.932       16.255        7.171     153135246.405       29.805
2019-212/00:00:00      92348156.353    -112162199.294     -48326942.129       23.631       16.631        7.329     153114448.266       29.812
2019-213/00:00:00      94377016.682    -110708924.028     -47686899.514       23.330       17.007        7.486     153093198.812       29.826
2019-214/00:00:00      96379262.615    -109223560.838     -47033411.794       23.019       17.377        7.641     153071520.308       29.837
2019-215/00:00:00      98354440.540    -107706363.205     -46366611.966       22.700       17.742        7.793     153049401.677       29.846
2019-216/00:00:00     100301692.142    -106157929.234     -45686777.855       22.376       18.102        7.944     153026850.770       29.857
2019-217/00:00:00     102220553.355    -104578570.050     -44994066.508       22.041       18.456        8.091     153003872.052       29.865
2019-218/00:00:00     104110479.695    -102968640.969     -44288650.412       21.705       18.809        8.237     152980448.295       29.879
2019-219/00:00:00     105970672.294    -101328791.896     -43570831.188       21.356       19.152        8.379     152956610.789       29.884
2019-220/00:00:00     107800808.500     -99659201.636     -42840702.967       21.005       19.493        8.521     152932326.912       29.896
2019-221/00:00:00     109600026.118     -97960621.854     -42098610.682       20.645       19.828        8.658     152907626.300       29.906
2019-222/00:00:00     111367998.791     -96233271.889     -41344663.967       20.277       20.154        8.793     152882487.590       29.910
2019-223/00:00:00     113104011.655     -94477789.892     -40579156.246       19.907       20.481        8.927     152856920.540       29.924
2019-224/00:00:00     114807498.860     -92694686.582     -39802323.827       19.526       20.796        9.056     152830925.199       29.929
2019-225/00:00:00     116478075.367     -90884292.271     -39014321.491       19.141       21.108        9.183     152804495.693       29.938
2019-226/00:00:00     118114976.333     -89047373.007     -38215495.936       18.751       21.415        9.309     152777637.117       29.948
2019-227/00:00:00     119717827.100     -87184296.727     -37406014.593       18.350       21.710        9.429     152750350.733       29.949
2019-228/00:00:00     121286114.143     -85295599.388     -36586117.843       17.950       22.007        9.549     152722640.030       29.962
2019-229/00:00:00     122819203.508     -83381987.446     -35756117.115       17.540       22.292        9.665     152694507.078       29.967
2019-230/00:00:00     124316813.725     -81443787.416     -34916154.749       17.123       22.570        9.777     152665970.490       29.970
2019-231/00:00:00     125778218.485     -79481858.824     -34066604.160       16.706       22.846        9.889     152637019.252       29.981
2019-232/00:00:00     127203183.376     -77496526.735     -33207602.041       16.277       23.108        9.995     152607687.717       29.981
2019-233/00:00:00     128591080.651     -75488585.186     -32339489.066       15.849       23.370       10.100     152577963.905       29.989
2019-234/00:00:00     129941505.827     -73458605.918     -31462506.000       15.412       23.621       10.201     152547864.632       29.993
2019-235/00:00:00     131254167.838     -71407028.125     -30576836.429       14.971       23.866       10.299     152517419.223       29.997
2019-236/00:00:00     132528412.944     -69334778.775     -29682871.311       14.526       24.104       10.395     152486604.771       30.002
2019-237/00:00:00     133764080.319     -67242179.478     -28780741.144       14.075       24.333       10.486     152455472.009       30.002
2019-238/00:00:00     134960589.185     -65130114.161     -27870815.375       13.622       24.557       10.576     152423996.646       30.008
2019-239/00:00:00     136117651.199     -62999129.758     -26953317.623       13.161       24.770       10.661     152392213.217       30.007
2019-240/00:00:00     137234955.188     -60849782.771     -26028475.429       12.701       24.981       10.746     152360134.293       30.014
2019-241/00:00:00     138312012.686     -58682965.392     -25096656.297       12.233       25.179       10.825     152327756.623       30.014
2019-242/00:00:00     139348672.372     -56499045.087     -24158004.906       11.762       25.371       10.901     152295120.698       30.014
2019-243/00:00:00     140344452.057     -54298959.033     -23212905.380       11.289       25.557       10.976     152262211.830       30.018
2019-244/00:00:00     141299136.044     -52083259.720     -22261579.026       10.810       25.731       11.045     152229069.794       30.016
2019-245/00:00:00     142212469.426     -49852490.509     -21304239.143       10.331       25.904       11.114     152195689.412       30.021
2019-246/00:00:00     143084062.543     -47607655.105     -20341299.268        9.846       26.062       11.177     152162105.119       30.018
2019-247/00:00:00     143913800.437     -45349031.175     -19372855.930        9.359       26.216       11.238     152128314.694       30.019
2019-248/00:00:00     144701298.233     -43077706.673     -18399358.668        8.871       26.364       11.297     152094348.751       30.023
2019-249/00:00:00     145446438.903     -40794031.504     -17420933.953        8.377       26.495       11.350     152060213.520       30.016
2019-250/00:00:00     146148937.475     -38498890.275     -16437942.120        7.884       26.630       11.404     152025926.797       30.023
